"","Economy","Region","Parameter","Rank"
"68","Vietnam","Southeastern Asia","Ease.of.Doing.Business.Rank",68
"69","Morocco","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",69
"70","Jamaica","Latin America and Caribbean","Ease.of.Doing.Business.Rank",70
"71","Oman","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",71
"72","Indonesia","Southeastern Asia","Ease.of.Doing.Business.Rank",72
"73","El Salvador","Latin America and Caribbean","Ease.of.Doing.Business.Rank",73
"74","Uzbekistan","Central and Eastern Europe","Ease.of.Doing.Business.Rank",74
"75","Bhutan","Southern Asia","Ease.of.Doing.Business.Rank",75
"76","Ukraine","Central and Eastern Europe","Ease.of.Doing.Business.Rank",76
"77","Kyrgyz Republic",NA,"Ease.of.Doing.Business.Rank",77
"78","China","Eastern Asia","Ease.of.Doing.Business.Rank",78
"79","Panama","Latin America and Caribbean","Ease.of.Doing.Business.Rank",79
"80","Kenya","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",80
"81","Botswana","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",81
"82","South Africa","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",82
"83","Qatar","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",83
"84","Malta","Western Europe","Ease.of.Doing.Business.Rank",84
"85","Zambia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",85
"86","Bosnia and Herzegovina","Central and Eastern Europe","Ease.of.Doing.Business.Rank",86
"87","Samoa",NA,"Ease.of.Doing.Business.Rank",87
"88","Tunisia","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",88
"89","Tonga",NA,"Ease.of.Doing.Business.Rank",89
"90","Vanuatu",NA,"Ease.of.Doing.Business.Rank",90
"91","St. Lucia",NA,"Ease.of.Doing.Business.Rank",91
"92","Saudi Arabia","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",92
"93","San Marino",NA,"Ease.of.Doing.Business.Rank",93
"94","Uruguay","Latin America and Caribbean","Ease.of.Doing.Business.Rank",94
"95","Seychelles",NA,"Ease.of.Doing.Business.Rank",95
"96","Kuwait","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",96
"97","Guatemala","Latin America and Caribbean","Ease.of.Doing.Business.Rank",97
"98","Dominica",NA,"Ease.of.Doing.Business.Rank",98
"99","Dominican Republic","Latin America and Caribbean","Ease.of.Doing.Business.Rank",99
"100","India","Southern Asia","Ease.of.Doing.Business.Rank",100
"101","Fiji",NA,"Ease.of.Doing.Business.Rank",101
"102","Trinidad and Tobago","Latin America and Caribbean","Ease.of.Doing.Business.Rank",102
"103","Jordan","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",103
"104","Lesotho","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",104
"105","Nepal","Southern Asia","Ease.of.Doing.Business.Rank",105
"106","Namibia",NA,"Ease.of.Doing.Business.Rank",106
"107","Antigua and Barbuda",NA,"Ease.of.Doing.Business.Rank",107
"108","Paraguay","Latin America and Caribbean","Ease.of.Doing.Business.Rank",108
"109","Papua New Guinea",NA,"Ease.of.Doing.Business.Rank",109
"110","Malawi","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",110
"111","Sri Lanka","Southern Asia","Ease.of.Doing.Business.Rank",111
"112","Swaziland","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",112
"113","Philippines","Southeastern Asia","Ease.of.Doing.Business.Rank",113
"114","West Bank and Gaza",NA,"Ease.of.Doing.Business.Rank",114
"115","Honduras","Latin America and Caribbean","Ease.of.Doing.Business.Rank",115
"116","Solomon Islands",NA,"Ease.of.Doing.Business.Rank",116
"117","Argentina","Latin America and Caribbean","Ease.of.Doing.Business.Rank",117
"118","Ecuador","Latin America and Caribbean","Ease.of.Doing.Business.Rank",118
"119","Bahamas, The",NA,"Ease.of.Doing.Business.Rank",119
"120","Ghana","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",120
"121","Belize",NA,"Ease.of.Doing.Business.Rank",121
"122","Uganda","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",122
"123","Tajikistan","Central and Eastern Europe","Ease.of.Doing.Business.Rank",123
"124","Iran, Islamic Rep.",NA,"Ease.of.Doing.Business.Rank",124
"125","Brazil","Latin America and Caribbean","Ease.of.Doing.Business.Rank",125
"126","Guyana",NA,"Ease.of.Doing.Business.Rank",126
"127","Cabo Verde",NA,"Ease.of.Doing.Business.Rank",127
"128","Egypt, Arab Rep.",NA,"Ease.of.Doing.Business.Rank",128
"129","St. Vincent and the Grenadines",NA,"Ease.of.Doing.Business.Rank",129
"130","Palau",NA,"Ease.of.Doing.Business.Rank",130
"131","Nicaragua","Latin America and Caribbean","Ease.of.Doing.Business.Rank",131
"132","Barbados",NA,"Ease.of.Doing.Business.Rank",132
"133","Lebanon","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",133
"134","St. Kitts and Nevis",NA,"Ease.of.Doing.Business.Rank",134
"135","Cambodia","Southeastern Asia","Ease.of.Doing.Business.Rank",135
"136","Maldives",NA,"Ease.of.Doing.Business.Rank",136
"137","Tanzania","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",137
"138","Mozambique","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",138
"139","Côte d'Ivoire",NA,"Ease.of.Doing.Business.Rank",139
"140","Senegal","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",140
"141","Lao PDR",NA,"Ease.of.Doing.Business.Rank",141
"142","Grenada",NA,"Ease.of.Doing.Business.Rank",142
"143","Mali","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",143
"144","Niger","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",144
"145","Nigeria","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",145
"146","Gambia, The",NA,"Ease.of.Doing.Business.Rank",146
"147","Pakistan","Southern Asia","Ease.of.Doing.Business.Rank",147
"148","Burkina Faso","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",148
"149","Marshall Islands",NA,"Ease.of.Doing.Business.Rank",149
"150","Mauritania","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",150
"151","Benin","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",151
"152","Bolivia","Latin America and Caribbean","Ease.of.Doing.Business.Rank",152
"153","Guinea","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",153
"154","Djibouti","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",154
"155","Micronesia, Fed. Sts.",NA,"Ease.of.Doing.Business.Rank",155
"156","Togo","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",156
"157","Kiribati",NA,"Ease.of.Doing.Business.Rank",157
"158","Comoros","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",158
"159","Zimbabwe","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",159
"160","Sierra Leone","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",160
"161","Ethiopia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",161
"162","Madagascar","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",162
"163","Cameroon","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",163
"164","Burundi","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",164
"165","Suriname","Latin America and Caribbean","Ease.of.Doing.Business.Rank",165
"166","Algeria","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",166
"167","Gabon","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",167
"168","Iraq","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",168
"169","São Tomé and Príncipe",NA,"Ease.of.Doing.Business.Rank",169
"170","Sudan","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",170
"171","Myanmar","Southeastern Asia","Ease.of.Doing.Business.Rank",171
"172","Liberia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",172
"173","Equatorial Guinea",NA,"Ease.of.Doing.Business.Rank",173
"174","Syrian Arab Republic",NA,"Ease.of.Doing.Business.Rank",174
"175","Angola","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",175
"176","Guinea-Bissau",NA,"Ease.of.Doing.Business.Rank",176
"177","Bangladesh","Southern Asia","Ease.of.Doing.Business.Rank",177
"178","Timor-Leste",NA,"Ease.of.Doing.Business.Rank",178
"179","Congo, Rep.",NA,"Ease.of.Doing.Business.Rank",179
"180","Chad","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",180
"181","Haiti","Latin America and Caribbean","Ease.of.Doing.Business.Rank",181
"182","Congo, Dem. Rep.",NA,"Ease.of.Doing.Business.Rank",182
"183","Afghanistan","Southern Asia","Ease.of.Doing.Business.Rank",183
"184","Central African Republic","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",184
"185","Libya","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",185
"186","Yemen, Rep.",NA,"Ease.of.Doing.Business.Rank",186
"187","South Sudan",NA,"Ease.of.Doing.Business.Rank",187
"188","Venezuela, RB",NA,"Ease.of.Doing.Business.Rank",188
"189","Eritrea",NA,"Ease.of.Doing.Business.Rank",189
"190","Somalia",NA,"Ease.of.Doing.Business.Rank",190
"191","New Zealand","Australia and New Zealand","Starting.a.Business",1
"192","Singapore","Southeastern Asia","Starting.a.Business",6
"193","Denmark","Western Europe","Starting.a.Business",34
"194","Korea, Rep.",NA,"Starting.a.Business",9
"195","Hong Kong SAR, China",NA,"Starting.a.Business",3
"196","United States","North America","Starting.a.Business",49
"197","United Kingdom","Western Europe","Starting.a.Business",14
"198","Norway","Western Europe","Starting.a.Business",19
"199","Georgia","Central and Eastern Europe","Starting.a.Business",4
"200","Sweden","Western Europe","Starting.a.Business",13
"201","Macedonia, FYR",NA,"Starting.a.Business",22
"202","Estonia","Central and Eastern Europe","Starting.a.Business",12
"203","Finland","Western Europe","Starting.a.Business",26
"204","Australia","Australia and New Zealand","Starting.a.Business",7
"205","Taiwan, China",NA,"Starting.a.Business",16
"206","Lithuania","Central and Eastern Europe","Starting.a.Business",27
"207","Ireland","Western Europe","Starting.a.Business",8
"208","Canada","North America","Starting.a.Business",2
"209","Latvia","Central and Eastern Europe","Starting.a.Business",21
"210","Germany","Western Europe","Starting.a.Business",113
"211","United Arab Emirates","Middle East and Northern Africa","Starting.a.Business",51
"212","Austria","Western Europe","Starting.a.Business",118
"213","Iceland","Western Europe","Starting.a.Business",55
"214","Malaysia","Southeastern Asia","Starting.a.Business",111
"215","Mauritius","Sub-Saharan Africa","Starting.a.Business",40
"216","Thailand","Southeastern Asia","Starting.a.Business",36
"217","Poland","Central and Eastern Europe","Starting.a.Business",120
"218","Spain","Western Europe","Starting.a.Business",86
"219","Portugal","Western Europe","Starting.a.Business",48
"220","Czech Republic","Central and Eastern Europe","Starting.a.Business",81
"221","France","Western Europe","Starting.a.Business",25
"222","Netherlands","Western Europe","Starting.a.Business",20
"223","Switzerland","Western Europe","Starting.a.Business",73
"224","Japan","Eastern Asia","Starting.a.Business",106
"225","Russian Federation",NA,"Starting.a.Business",28
"226","Kazakhstan","Central and Eastern Europe","Starting.a.Business",41
"227","Slovenia","Central and Eastern Europe","Starting.a.Business",46
"228","Belarus","Central and Eastern Europe","Starting.a.Business",30
"229","Slovak Republic",NA,"Starting.a.Business",83
"230","Kosovo","Central and Eastern Europe","Starting.a.Business",10
"231","Rwanda","Sub-Saharan Africa","Starting.a.Business",78
"232","Montenegro","Central and Eastern Europe","Starting.a.Business",60
"233","Serbia","Central and Eastern Europe","Starting.a.Business",32
"234","Moldova","Central and Eastern Europe","Starting.a.Business",23
"235","Romania","Central and Eastern Europe","Starting.a.Business",64
"236","Italy","Western Europe","Starting.a.Business",66
"237","Armenia","Central and Eastern Europe","Starting.a.Business",15
"238","Hungary","Central and Eastern Europe","Starting.a.Business",79
"239","Mexico","Latin America and Caribbean","Starting.a.Business",90
"240","Bulgaria","Central and Eastern Europe","Starting.a.Business",95
"241","Croatia","Central and Eastern Europe","Starting.a.Business",87
"242","Belgium","Western Europe","Starting.a.Business",16
"243","Cyprus","Western Europe","Starting.a.Business",50
"244","Israel","Middle East and Northern Africa","Starting.a.Business",37
"245","Chile","Latin America and Caribbean","Starting.a.Business",65
"246","Brunei Darussalam",NA,"Starting.a.Business",58
"247","Azerbaijan","Central and Eastern Europe","Starting.a.Business",18
"248","Peru","Latin America and Caribbean","Starting.a.Business",114
"249","Colombia","Latin America and Caribbean","Starting.a.Business",96
"250","Turkey","Middle East and Northern Africa","Starting.a.Business",80
"251","Costa Rica","Latin America and Caribbean","Starting.a.Business",127
"252","Mongolia","Eastern Asia","Starting.a.Business",59
"253","Luxembourg","Western Europe","Starting.a.Business",70
"254","Puerto Rico (U.S.)",NA,"Starting.a.Business",47
"255","Albania","Central and Eastern Europe","Starting.a.Business",45
"256","Bahrain","Middle East and Northern Africa","Starting.a.Business",75
"257","Greece","Western Europe","Starting.a.Business",37
"258","Vietnam","Southeastern Asia","Starting.a.Business",123
"259","Morocco","Middle East and Northern Africa","Starting.a.Business",35
"260","Jamaica","Latin America and Caribbean","Starting.a.Business",5
"261","Oman","Middle East and Northern Africa","Starting.a.Business",31
"262","Indonesia","Southeastern Asia","Starting.a.Business",144
"263","El Salvador","Latin America and Caribbean","Starting.a.Business",140
"264","Uzbekistan","Central and Eastern Europe","Starting.a.Business",11
"265","Bhutan","Southern Asia","Starting.a.Business",88
"266","Ukraine","Central and Eastern Europe","Starting.a.Business",52
"267","Kyrgyz Republic",NA,"Starting.a.Business",29
"268","China","Eastern Asia","Starting.a.Business",93
"269","Panama","Latin America and Caribbean","Starting.a.Business",39
"270","Kenya","Sub-Saharan Africa","Starting.a.Business",117
"271","Botswana","Sub-Saharan Africa","Starting.a.Business",153
"272","South Africa","Sub-Saharan Africa","Starting.a.Business",136
"273","Qatar","Middle East and Northern Africa","Starting.a.Business",89
"274","Malta","Western Europe","Starting.a.Business",102
"275","Zambia","Sub-Saharan Africa","Starting.a.Business",101
"276","Bosnia and Herzegovina","Central and Eastern Europe","Starting.a.Business",175
"277","Samoa",NA,"Starting.a.Business",33
"278","Tunisia","Middle East and Northern Africa","Starting.a.Business",100
"279","Tonga",NA,"Starting.a.Business",53
"280","Vanuatu",NA,"Starting.a.Business",128
"281","St. Lucia",NA,"Starting.a.Business",69
"282","Saudi Arabia","Middle East and Northern Africa","Starting.a.Business",135
"283","San Marino",NA,"Starting.a.Business",112
"284","Uruguay","Latin America and Caribbean","Starting.a.Business",61
"285","Seychelles",NA,"Starting.a.Business",141
"286","Kuwait","Middle East and Northern Africa","Starting.a.Business",149
"287","Guatemala","Latin America and Caribbean","Starting.a.Business",139
"288","Dominica",NA,"Starting.a.Business",67
"289","Dominican Republic","Latin America and Caribbean","Starting.a.Business",116
"290","India","Southern Asia","Starting.a.Business",156
"291","Fiji",NA,"Starting.a.Business",160
"292","Trinidad and Tobago","Latin America and Caribbean","Starting.a.Business",71
"293","Jordan","Middle East and Northern Africa","Starting.a.Business",105
"294","Lesotho","Sub-Saharan Africa","Starting.a.Business",119
"295","Nepal","Southern Asia","Starting.a.Business",109
"296","Namibia",NA,"Starting.a.Business",172
"297","Antigua and Barbuda",NA,"Starting.a.Business",126
"298","Paraguay","Latin America and Caribbean","Starting.a.Business",146
"299","Papua New Guinea",NA,"Starting.a.Business",129
"300","Malawi","Sub-Saharan Africa","Starting.a.Business",152
"301","Sri Lanka","Southern Asia","Starting.a.Business",77
"302","Swaziland","Sub-Saharan Africa","Starting.a.Business",158
"303","Philippines","Southeastern Asia","Starting.a.Business",173
"304","West Bank and Gaza",NA,"Starting.a.Business",169
"305","Honduras","Latin America and Caribbean","Starting.a.Business",150
"306","Solomon Islands",NA,"Starting.a.Business",94
"307","Argentina","Latin America and Caribbean","Starting.a.Business",157
"308","Ecuador","Latin America and Caribbean","Starting.a.Business",168
"309","Bahamas, The",NA,"Starting.a.Business",108
"310","Ghana","Sub-Saharan Africa","Starting.a.Business",110
"311","Belize",NA,"Starting.a.Business",161
"312","Uganda","Sub-Saharan Africa","Starting.a.Business",165
"313","Tajikistan","Central and Eastern Europe","Starting.a.Business",57
"314","Iran, Islamic Rep.",NA,"Starting.a.Business",97
"315","Brazil","Latin America and Caribbean","Starting.a.Business",176
"316","Guyana",NA,"Starting.a.Business",92
"317","Cabo Verde",NA,"Starting.a.Business",98
"318","Egypt, Arab Rep.",NA,"Starting.a.Business",103
"319","St. Vincent and the Grenadines",NA,"Starting.a.Business",85
"320","Palau",NA,"Starting.a.Business",124
"321","Nicaragua","Latin America and Caribbean","Starting.a.Business",138
"322","Barbados",NA,"Starting.a.Business",99
"323","Lebanon","Middle East and Northern Africa","Starting.a.Business",143
"324","St. Kitts and Nevis",NA,"Starting.a.Business",91
"325","Cambodia","Southeastern Asia","Starting.a.Business",183
"326","Maldives",NA,"Starting.a.Business",68
"327","Tanzania","Sub-Saharan Africa","Starting.a.Business",162
"328","Mozambique","Sub-Saharan Africa","Starting.a.Business",137
"329","Côte d'Ivoire",NA,"Starting.a.Business",44
"330","Senegal","Sub-Saharan Africa","Starting.a.Business",63
"331","Lao PDR",NA,"Starting.a.Business",164
"332","Grenada",NA,"Starting.a.Business",82
"333","Mali","Sub-Saharan Africa","Starting.a.Business",104
"334","Niger","Sub-Saharan Africa","Starting.a.Business",24
"335","Nigeria","Sub-Saharan Africa","Starting.a.Business",130
"336","Gambia, The",NA,"Starting.a.Business",171
"337","Pakistan","Southern Asia","Starting.a.Business",142
"338","Burkina Faso","Sub-Saharan Africa","Starting.a.Business",74
"339","Marshall Islands",NA,"Starting.a.Business",72
"340","Mauritania","Sub-Saharan Africa","Starting.a.Business",43
"341","Benin","Sub-Saharan Africa","Starting.a.Business",56
"342","Bolivia","Latin America and Caribbean","Starting.a.Business",179
"343","Guinea","Sub-Saharan Africa","Starting.a.Business",125
"344","Djibouti","Sub-Saharan Africa","Starting.a.Business",115
"345","Micronesia, Fed. Sts.",NA,"Starting.a.Business",170
"346","Togo","Sub-Saharan Africa","Starting.a.Business",121
"347","Kiribati",NA,"Starting.a.Business",147
"348","Comoros","Sub-Saharan Africa","Starting.a.Business",166
"349","Zimbabwe","Sub-Saharan Africa","Starting.a.Business",180
"350","Sierra Leone","Sub-Saharan Africa","Starting.a.Business",83
"351","Ethiopia","Sub-Saharan Africa","Starting.a.Business",174
"352","Madagascar","Sub-Saharan Africa","Starting.a.Business",76
"353","Cameroon","Sub-Saharan Africa","Starting.a.Business",122
"354","Burundi","Sub-Saharan Africa","Starting.a.Business",42
"355","Suriname","Latin America and Caribbean","Starting.a.Business",186
"356","Algeria","Middle East and Northern Africa","Starting.a.Business",145
"357","Gabon","Sub-Saharan Africa","Starting.a.Business",132
"358","Iraq","Middle East and Northern Africa","Starting.a.Business",154
"359","São Tomé and Príncipe",NA,"Starting.a.Business",148
"360","Sudan","Sub-Saharan Africa","Starting.a.Business",159
"361","Myanmar","Southeastern Asia","Starting.a.Business",155
"362","Liberia","Sub-Saharan Africa","Starting.a.Business",54
"363","Equatorial Guinea",NA,"Starting.a.Business",182
"364","Syrian Arab Republic",NA,"Starting.a.Business",133
"365","Angola","Sub-Saharan Africa","Starting.a.Business",134
"366","Guinea-Bissau",NA,"Starting.a.Business",178
"367","Bangladesh","Southern Asia","Starting.a.Business",131
"368","Timor-Leste",NA,"Starting.a.Business",151
"369","Congo, Rep.",NA,"Starting.a.Business",177
"370","Chad","Sub-Saharan Africa","Starting.a.Business",185
"371","Haiti","Latin America and Caribbean","Starting.a.Business",189
"372","Congo, Dem. Rep.",NA,"Starting.a.Business",62
"373","Afghanistan","Southern Asia","Starting.a.Business",107
"374","Central African Republic","Sub-Saharan Africa","Starting.a.Business",188
"375","Libya","Middle East and Northern Africa","Starting.a.Business",167
"376","Yemen, Rep.",NA,"Starting.a.Business",163
"377","South Sudan",NA,"Starting.a.Business",181
"378","Venezuela, RB",NA,"Starting.a.Business",190
"379","Eritrea",NA,"Starting.a.Business",184
"380","Somalia",NA,"Starting.a.Business",187
"381","New Zealand","Australia and New Zealand","Dealing.with.Construction.Permits",3
"382","Singapore","Southeastern Asia","Dealing.with.Construction.Permits",16
"383","Denmark","Western Europe","Dealing.with.Construction.Permits",1
"384","Korea, Rep.",NA,"Dealing.with.Construction.Permits",28
"385","Hong Kong SAR, China",NA,"Dealing.with.Construction.Permits",5
"386","United States","North America","Dealing.with.Construction.Permits",36
"387","United Kingdom","Western Europe","Dealing.with.Construction.Permits",14
"388","Norway","Western Europe","Dealing.with.Construction.Permits",21
"389","Georgia","Central and Eastern Europe","Dealing.with.Construction.Permits",29
"390","Sweden","Western Europe","Dealing.with.Construction.Permits",27
"391","Macedonia, FYR",NA,"Dealing.with.Construction.Permits",26
"392","Estonia","Central and Eastern Europe","Dealing.with.Construction.Permits",8
"393","Finland","Western Europe","Dealing.with.Construction.Permits",37
"394","Australia","Australia and New Zealand","Dealing.with.Construction.Permits",6
"395","Taiwan, China",NA,"Dealing.with.Construction.Permits",4
"396","Lithuania","Central and Eastern Europe","Dealing.with.Construction.Permits",12
"397","Ireland","Western Europe","Dealing.with.Construction.Permits",30
"398","Canada","North America","Dealing.with.Construction.Permits",54
"399","Latvia","Central and Eastern Europe","Dealing.with.Construction.Permits",49
"400","Germany","Western Europe","Dealing.with.Construction.Permits",24
"401","United Arab Emirates","Middle East and Northern Africa","Dealing.with.Construction.Permits",2
"402","Austria","Western Europe","Dealing.with.Construction.Permits",42
"403","Iceland","Western Europe","Dealing.with.Construction.Permits",64
"404","Malaysia","Southeastern Asia","Dealing.with.Construction.Permits",11
"405","Mauritius","Sub-Saharan Africa","Dealing.with.Construction.Permits",9
"406","Thailand","Southeastern Asia","Dealing.with.Construction.Permits",43
"407","Poland","Central and Eastern Europe","Dealing.with.Construction.Permits",41
"408","Spain","Western Europe","Dealing.with.Construction.Permits",123
"409","Portugal","Western Europe","Dealing.with.Construction.Permits",32
"410","Czech Republic","Central and Eastern Europe","Dealing.with.Construction.Permits",127
"411","France","Western Europe","Dealing.with.Construction.Permits",18
"412","Netherlands","Western Europe","Dealing.with.Construction.Permits",76
"413","Switzerland","Western Europe","Dealing.with.Construction.Permits",62
"414","Japan","Eastern Asia","Dealing.with.Construction.Permits",50
"415","Russian Federation",NA,"Dealing.with.Construction.Permits",115
"416","Kazakhstan","Central and Eastern Europe","Dealing.with.Construction.Permits",52
"417","Slovenia","Central and Eastern Europe","Dealing.with.Construction.Permits",100
"418","Belarus","Central and Eastern Europe","Dealing.with.Construction.Permits",22
"419","Slovak Republic",NA,"Dealing.with.Construction.Permits",91
"420","Kosovo","Central and Eastern Europe","Dealing.with.Construction.Permits",122
"421","Rwanda","Sub-Saharan Africa","Dealing.with.Construction.Permits",112
"422","Montenegro","Central and Eastern Europe","Dealing.with.Construction.Permits",78
"423","Serbia","Central and Eastern Europe","Dealing.with.Construction.Permits",10
"424","Moldova","Central and Eastern Europe","Dealing.with.Construction.Permits",165
"425","Romania","Central and Eastern Europe","Dealing.with.Construction.Permits",150
