"","Economy","Region","Parameter","Rank"
"34","Japan","Southeastern Asia","Ease.of.Doing.Business.Rank",34
"35","Brunei Darussalam","1","Ease.of.Doing.Business.Rank",56
"36","Kazakhstan","Western Europe","Ease.of.Doing.Business.Rank",36
"37","Slovenia","Western Europe","Ease.of.Doing.Business.Rank",37
"38","Belarus","Eastern Asia","Ease.of.Doing.Business.Rank",38
"39","Cabo Verde","1","Ease.of.Doing.Business.Rank",127
"40","Kosovo","Latin America and Caribbean","Ease.of.Doing.Business.Rank",40
"41","Rwanda","Latin America and Caribbean","Ease.of.Doing.Business.Rank",41
"42","Montenegro","Latin America and Caribbean","Ease.of.Doing.Business.Rank",42
"43","Serbia","Latin America and Caribbean","Ease.of.Doing.Business.Rank",43
"44","Moldova","Central and Eastern Europe","Ease.of.Doing.Business.Rank",44
"45","Romania","Central and Eastern Europe","Ease.of.Doing.Business.Rank",45
"46","Italy","Eastern Asia","Ease.of.Doing.Business.Rank",46
"47","Armenia","Eastern Asia","Ease.of.Doing.Business.Rank",47
"48","Hungary","Latin America and Caribbean","Ease.of.Doing.Business.Rank",48
"49","Mexico","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",49
"50","Bulgaria","Western Europe","Ease.of.Doing.Business.Rank",50
"51","Croatia","Latin America and Caribbean","Ease.of.Doing.Business.Rank",51
"52","Belgium","Central and Eastern Europe","Ease.of.Doing.Business.Rank",52
"53","Cyprus","Latin America and Caribbean","Ease.of.Doing.Business.Rank",53
"54","Israel","Central and Eastern Europe","Ease.of.Doing.Business.Rank",54
"55","Chile","Central and Eastern Europe","Ease.of.Doing.Business.Rank",55
"56","Central African Republic","Central and Eastern Europe","Ease.of.Doing.Business.Rank",184
"57","Azerbaijan","Latin America and Caribbean","Ease.of.Doing.Business.Rank",57
"58","Peru","Latin America and Caribbean","Ease.of.Doing.Business.Rank",58
"59","Colombia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",59
"60","Turkey","Central and Eastern Europe","Ease.of.Doing.Business.Rank",60
"61","Costa Rica","Southeastern Asia","Ease.of.Doing.Business.Rank",61
"62","Mongolia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",62
"63","Luxembourg","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",63
"64","Comoros","Central and Eastern Europe","Ease.of.Doing.Business.Rank",158
"65","Albania","Latin America and Caribbean","Ease.of.Doing.Business.Rank",65
"66","Bahrain","Western Europe","Ease.of.Doing.Business.Rank",66
"67","Greece","Western Europe","Ease.of.Doing.Business.Rank",67
"68","Vietnam","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",68
"69","Morocco","Central and Eastern Europe","Ease.of.Doing.Business.Rank",69
"70","Jamaica","Central and Eastern Europe","Ease.of.Doing.Business.Rank",70
"71","Congo (Brazzaville)","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",179
"72","Indonesia","Eastern Asia","Ease.of.Doing.Business.Rank",72
"73","El Salvador","Central and Eastern Europe","Ease.of.Doing.Business.Rank",73
"74","Uzbekistan","Southeastern Asia","Ease.of.Doing.Business.Rank",74
"75","Bhutan","Southeastern Asia","Ease.of.Doing.Business.Rank",75
"76","Ukraine","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",76
"77","Congo (Kinshasa)","Central and Eastern Europe","Ease.of.Doing.Business.Rank",182
"78","China","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",78
"79","Panama","Southern Asia","Ease.of.Doing.Business.Rank",79
"80","Kenya","Central and Eastern Europe","Ease.of.Doing.Business.Rank",80
"81","Botswana","Southern Asia","Ease.of.Doing.Business.Rank",81
"82","South Africa","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",82
"83","Qatar","Central and Eastern Europe","Ease.of.Doing.Business.Rank",83
"84","Malta","Eastern Asia","Ease.of.Doing.Business.Rank",84
"85","Zambia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",85
"86","Bosnia and Herzegovina","Central and Eastern Europe","Ease.of.Doing.Business.Rank",86
"87","Djibouti","Central and Eastern Europe","Ease.of.Doing.Business.Rank",154
"88","Tunisia","Western Europe","Ease.of.Doing.Business.Rank",88
"89","Dominica","1","Ease.of.Doing.Business.Rank",98
"90","Egypt","Southeastern Asia","Ease.of.Doing.Business.Rank",128
"91","Equatorial Guinea","1","Ease.of.Doing.Business.Rank",173
"92","Saudi Arabia","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",92
"93","Eritrea","1","Ease.of.Doing.Business.Rank",189
"94","Uruguay","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",94
"95","Fiji","1","Ease.of.Doing.Business.Rank",101
"96","Kuwait","Central and Eastern Europe","Ease.of.Doing.Business.Rank",96
"97","Guatemala","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",97
"98","Gambia, The","1","Ease.of.Doing.Business.Rank",146
"99","Dominican Republic","Southeastern Asia","Ease.of.Doing.Business.Rank",99
"100","India","Eastern Asia","Ease.of.Doing.Business.Rank",100
"101","Grenada","1","Ease.of.Doing.Business.Rank",142
"102","Trinidad and Tobago","Western Europe","Ease.of.Doing.Business.Rank",102
"103","Jordan","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",103
"104","Guinea-Bissau","1","Ease.of.Doing.Business.Rank",176
"105","Nepal","Latin America and Caribbean","Ease.of.Doing.Business.Rank",105
"106","Guyana","1","Ease.of.Doing.Business.Rank",126
"107","Hong Kong","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",5
"108","Paraguay","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",108
"109","Iran","Southern Asia","Ease.of.Doing.Business.Rank",124
"110","Malawi","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",110
"111","Sri Lanka","Central and Eastern Europe","Ease.of.Doing.Business.Rank",111
"112","Ivory Coast","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",139
"113","Philippines","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",113
"114","Kiribati","1","Ease.of.Doing.Business.Rank",157
"115","Honduras","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",115
"116","South Korea","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",4
"117","Argentina","Southern Asia","Ease.of.Doing.Business.Rank",117
"118","Ecuador","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",118
"119","Kyrgyzstan","Latin America and Caribbean","Ease.of.Doing.Business.Rank",77
"120","Ghana","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",120
"121","Lao PDR","1","Ease.of.Doing.Business.Rank",141
"122","Uganda","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",122
"123","Tajikistan","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",123
"124","Lesotho","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",104
"125","Brazil","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",125
"126","Macedonia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",11
"127","Maldives","1","Ease.of.Doing.Business.Rank",136
"128","Marshall Islands","1","Ease.of.Doing.Business.Rank",149
"129","Micronesia, Fed. Sts.","1","Ease.of.Doing.Business.Rank",155
"130","Mozambique","Central and Eastern Europe","Ease.of.Doing.Business.Rank",138
"131","Nicaragua","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",131
"132","Namibia","1","Ease.of.Doing.Business.Rank",106
"133","Lebanon","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",133
"134","Oman","Central and Eastern Europe","Ease.of.Doing.Business.Rank",71
"135","Cambodia","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",135
"136","Palau","1","Ease.of.Doing.Business.Rank",130
"137","Tanzania","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",137
"138","Papua New Guinea","1","Ease.of.Doing.Business.Rank",109
"139","Puerto Rico (U.S.)","1","Ease.of.Doing.Business.Rank",64
"140","Senegal","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",140
"141","Russia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",35
"142","Samoa","1","Ease.of.Doing.Business.Rank",87
"143","Mali","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",143
"144","Niger","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",144
"145","Nigeria","Southeastern Asia","Ease.of.Doing.Business.Rank",145
"146","San Marino","1","Ease.of.Doing.Business.Rank",93
"147","Pakistan","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",147
"148","Burkina Faso","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",148
"149","São Tomé and Príncipe","1","Ease.of.Doing.Business.Rank",169
"150","Mauritania","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",150
"151","Benin","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",151
"152","Bolivia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",152
"153","Guinea","Southern Asia","Ease.of.Doing.Business.Rank",153
"154","Seychelles","1","Ease.of.Doing.Business.Rank",95
"155","Slovakia","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",39
"156","Togo","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",156
"157","Solomon Islands","1","Ease.of.Doing.Business.Rank",116
"158","Somalia","1","Ease.of.Doing.Business.Rank",190
"159","Zimbabwe",NA,"Ease.of.Doing.Business.Rank",159
"160","Sierra Leone",NA,"Ease.of.Doing.Business.Rank",160
"161","Ethiopia",NA,"Ease.of.Doing.Business.Rank",161
"162","Madagascar",NA,"Ease.of.Doing.Business.Rank",162
"163","Cameroon",NA,"Ease.of.Doing.Business.Rank",163
"164","Burundi",NA,"Ease.of.Doing.Business.Rank",164
"165","South Sudan","1","Ease.of.Doing.Business.Rank",187
"166","Algeria",NA,"Ease.of.Doing.Business.Rank",166
"167","Gabon",NA,"Ease.of.Doing.Business.Rank",167
"168","Iraq",NA,"Ease.of.Doing.Business.Rank",168
"169","St. Kitts and Nevis","1","Ease.of.Doing.Business.Rank",134
"170","Sudan",NA,"Ease.of.Doing.Business.Rank",170
"171","Myanmar",NA,"Ease.of.Doing.Business.Rank",171
"172","Liberia",NA,"Ease.of.Doing.Business.Rank",172
"173","St. Lucia","1","Ease.of.Doing.Business.Rank",91
"174","St. Vincent and the Grenadines","1","Ease.of.Doing.Business.Rank",129
"175","Angola",NA,"Ease.of.Doing.Business.Rank",175
"176","Suriname",NA,"Ease.of.Doing.Business.Rank",165
"177","Bangladesh",NA,"Ease.of.Doing.Business.Rank",177
"178","Swaziland",NA,"Ease.of.Doing.Business.Rank",112
"179","Syria",NA,"Ease.of.Doing.Business.Rank",174
"180","Chad",NA,"Ease.of.Doing.Business.Rank",180
"181","Haiti",NA,"Ease.of.Doing.Business.Rank",181
"182","Taiwan",NA,"Ease.of.Doing.Business.Rank",15
"183","Afghanistan",NA,"Ease.of.Doing.Business.Rank",183
"184","Timor-Leste","1","Ease.of.Doing.Business.Rank",178
"185","Libya",NA,"Ease.of.Doing.Business.Rank",185
"186","Tonga","1","Ease.of.Doing.Business.Rank",89
"187","Vanuatu","1","Ease.of.Doing.Business.Rank",90
"188","Venezuela",NA,"Ease.of.Doing.Business.Rank",188
"189","West Bank and Gaza","1","Ease.of.Doing.Business.Rank",114
"190","Yemen",NA,"Ease.of.Doing.Business.Rank",186
"191","New Zealand","Western Europe","Starting.a.Business",1
"192","Singapore","Western Europe","Starting.a.Business",6
"193","Denmark","Western Europe","Starting.a.Business",34
"194","Antigua and Barbuda","1","Starting.a.Business",126
"195","Bahamas, The","1","Starting.a.Business",108
"196","United States","Western Europe","Starting.a.Business",49
"197","United Kingdom","Western Europe","Starting.a.Business",14
"198","Norway","Western Europe","Starting.a.Business",19
"199","Georgia","Australia and New Zealand","Starting.a.Business",4
"200","Sweden","Australia and New Zealand","Starting.a.Business",13
"201","Barbados","1","Starting.a.Business",99
"202","Estonia","Latin America and Caribbean","Starting.a.Business",12
"203","Finland","Western Europe","Starting.a.Business",26
"204","Australia","Latin America and Caribbean","Starting.a.Business",7
"205","Belize","1","Starting.a.Business",161
"206","Lithuania","Latin America and Caribbean","Starting.a.Business",27
"207","Ireland","Western Europe","Starting.a.Business",8
"208","Canada","Western Europe","Starting.a.Business",2
"209","Latvia","Western Europe","Starting.a.Business",21
"210","Germany","Middle East and Northern Africa","Starting.a.Business",113
"211","United Arab Emirates","Western Europe","Starting.a.Business",51
"212","Austria","Middle East and Northern Africa","Starting.a.Business",118
"213","Iceland","Latin America and Caribbean","Starting.a.Business",55
"214","Malaysia","Southeastern Asia","Starting.a.Business",111
"215","Mauritius","Latin America and Caribbean","Starting.a.Business",40
"216","Thailand","Western Europe","Starting.a.Business",36
"217","Poland","Latin America and Caribbean","Starting.a.Business",120
"218","Spain","Middle East and Northern Africa","Starting.a.Business",86
"219","Portugal","Western Europe","Starting.a.Business",48
"220","Czech Republic","Latin America and Caribbean","Starting.a.Business",81
"221","France","Central and Eastern Europe","Starting.a.Business",25
"222","Netherlands","Latin America and Caribbean","Starting.a.Business",20
"223","Switzerland","Latin America and Caribbean","Starting.a.Business",73
"224","Japan","Southeastern Asia","Starting.a.Business",106
"225","Brunei Darussalam","1","Starting.a.Business",58
"226","Kazakhstan","Western Europe","Starting.a.Business",41
"227","Slovenia","Western Europe","Starting.a.Business",46
"228","Belarus","Eastern Asia","Starting.a.Business",30
"229","Cabo Verde","1","Starting.a.Business",98
"230","Kosovo","Latin America and Caribbean","Starting.a.Business",10
"231","Rwanda","Latin America and Caribbean","Starting.a.Business",78
"232","Montenegro","Latin America and Caribbean","Starting.a.Business",60
"233","Serbia","Latin America and Caribbean","Starting.a.Business",32
"234","Moldova","Central and Eastern Europe","Starting.a.Business",23
"235","Romania","Central and Eastern Europe","Starting.a.Business",64
"236","Italy","Eastern Asia","Starting.a.Business",66
"237","Armenia","Eastern Asia","Starting.a.Business",15
"238","Hungary","Latin America and Caribbean","Starting.a.Business",79
"239","Mexico","Middle East and Northern Africa","Starting.a.Business",90
"240","Bulgaria","Western Europe","Starting.a.Business",95
"241","Croatia","Latin America and Caribbean","Starting.a.Business",87
"242","Belgium","Central and Eastern Europe","Starting.a.Business",16
"243","Cyprus","Latin America and Caribbean","Starting.a.Business",50
"244","Israel","Central and Eastern Europe","Starting.a.Business",37
"245","Chile","Central and Eastern Europe","Starting.a.Business",65
"246","Central African Republic","Central and Eastern Europe","Starting.a.Business",188
"247","Azerbaijan","Latin America and Caribbean","Starting.a.Business",18
"248","Peru","Latin America and Caribbean","Starting.a.Business",114
"249","Colombia","Central and Eastern Europe","Starting.a.Business",96
"250","Turkey","Central and Eastern Europe","Starting.a.Business",80
"251","Costa Rica","Southeastern Asia","Starting.a.Business",127
"252","Mongolia","Central and Eastern Europe","Starting.a.Business",59
"253","Luxembourg","Middle East and Northern Africa","Starting.a.Business",70
"254","Comoros","Central and Eastern Europe","Starting.a.Business",166
"255","Albania","Latin America and Caribbean","Starting.a.Business",45
"256","Bahrain","Western Europe","Starting.a.Business",75
"257","Greece","Western Europe","Starting.a.Business",37
"258","Vietnam","Middle East and Northern Africa","Starting.a.Business",123
"259","Morocco","Central and Eastern Europe","Starting.a.Business",35
"260","Jamaica","Central and Eastern Europe","Starting.a.Business",5
"261","Congo (Brazzaville)","Sub-Saharan Africa","Starting.a.Business",177
"262","Indonesia","Eastern Asia","Starting.a.Business",144
"263","El Salvador","Central and Eastern Europe","Starting.a.Business",140
"264","Uzbekistan","Southeastern Asia","Starting.a.Business",11
"265","Bhutan","Southeastern Asia","Starting.a.Business",88
"266","Ukraine","Middle East and Northern Africa","Starting.a.Business",52
"267","Congo (Kinshasa)","Central and Eastern Europe","Starting.a.Business",62
"268","China","Sub-Saharan Africa","Starting.a.Business",93
"269","Panama","Southern Asia","Starting.a.Business",39
"270","Kenya","Central and Eastern Europe","Starting.a.Business",117
"271","Botswana","Southern Asia","Starting.a.Business",153
"272","South Africa","Middle East and Northern Africa","Starting.a.Business",136
"273","Qatar","Central and Eastern Europe","Starting.a.Business",89
"274","Malta","Eastern Asia","Starting.a.Business",102
"275","Zambia","Sub-Saharan Africa","Starting.a.Business",101
"276","Bosnia and Herzegovina","Central and Eastern Europe","Starting.a.Business",175
"277","Djibouti","Central and Eastern Europe","Starting.a.Business",115
"278","Tunisia","Western Europe","Starting.a.Business",100
"279","Dominica","1","Starting.a.Business",67
"280","Egypt","Southeastern Asia","Starting.a.Business",103
"281","Equatorial Guinea","1","Starting.a.Business",182
"282","Saudi Arabia","Middle East and Northern Africa","Starting.a.Business",135
"283","Eritrea","1","Starting.a.Business",184
"284","Uruguay","Sub-Saharan Africa","Starting.a.Business",61
"285","Fiji","1","Starting.a.Business",160
"286","Kuwait","Central and Eastern Europe","Starting.a.Business",149
"287","Guatemala","Sub-Saharan Africa","Starting.a.Business",139
"288","Gambia, The","1","Starting.a.Business",171
"289","Dominican Republic","Southeastern Asia","Starting.a.Business",116
"290","India","Eastern Asia","Starting.a.Business",156
"291","Grenada","1","Starting.a.Business",82
"292","Trinidad and Tobago","Western Europe","Starting.a.Business",71
"293","Jordan","Middle East and Northern Africa","Starting.a.Business",105
"294","Guinea-Bissau","1","Starting.a.Business",178
"295","Nepal","Latin America and Caribbean","Starting.a.Business",109
"296","Guyana","1","Starting.a.Business",92
"297","Hong Kong","Middle East and Northern Africa","Starting.a.Business",3
"298","Paraguay","Middle East and Northern Africa","Starting.a.Business",146
"299","Iran","Southern Asia","Starting.a.Business",97
"300","Malawi","Middle East and Northern Africa","Starting.a.Business",152
"301","Sri Lanka","Central and Eastern Europe","Starting.a.Business",77
"302","Ivory Coast","Middle East and Northern Africa","Starting.a.Business",44
"303","Philippines","Sub-Saharan Africa","Starting.a.Business",173
"304","Kiribati","1","Starting.a.Business",147
"305","Honduras","Sub-Saharan Africa","Starting.a.Business",150
"306","South Korea","Sub-Saharan Africa","Starting.a.Business",9
"307","Argentina","Southern Asia","Starting.a.Business",157
"308","Ecuador","Sub-Saharan Africa","Starting.a.Business",168
"309","Kyrgyzstan","Latin America and Caribbean","Starting.a.Business",29
"310","Ghana","Sub-Saharan Africa","Starting.a.Business",110
"311","Lao PDR","1","Starting.a.Business",164
"312","Uganda","Sub-Saharan Africa","Starting.a.Business",165
"313","Tajikistan","Sub-Saharan Africa","Starting.a.Business",57
"314","Lesotho","Sub-Saharan Africa","Starting.a.Business",119
"315","Brazil","Sub-Saharan Africa","Starting.a.Business",176
"316","Macedonia","Sub-Saharan Africa","Starting.a.Business",22
"317","Maldives","1","Starting.a.Business",68
"318","Marshall Islands","1","Starting.a.Business",72
"319","Micronesia, Fed. Sts.","1","Starting.a.Business",170
"320","Mozambique","Central and Eastern Europe","Starting.a.Business",137
"321","Nicaragua","Sub-Saharan Africa","Starting.a.Business",138
"322","Namibia","1","Starting.a.Business",172
"323","Lebanon","Sub-Saharan Africa","Starting.a.Business",143
"324","Oman","Central and Eastern Europe","Starting.a.Business",31
"325","Cambodia","Middle East and Northern Africa","Starting.a.Business",183
"326","Palau","1","Starting.a.Business",124
"327","Tanzania","Sub-Saharan Africa","Starting.a.Business",162
"328","Papua New Guinea","1","Starting.a.Business",129
"329","Puerto Rico (U.S.)","1","Starting.a.Business",47
"330","Senegal","Sub-Saharan Africa","Starting.a.Business",63
"331","Russia","Sub-Saharan Africa","Starting.a.Business",28
"332","Samoa","1","Starting.a.Business",33
"333","Mali","Sub-Saharan Africa","Starting.a.Business",104
"334","Niger","Sub-Saharan Africa","Starting.a.Business",24
"335","Nigeria","Southeastern Asia","Starting.a.Business",130
"336","San Marino","1","Starting.a.Business",112
"337","Pakistan","Sub-Saharan Africa","Starting.a.Business",142
"338","Burkina Faso","Sub-Saharan Africa","Starting.a.Business",74
"339","São Tomé and Príncipe","1","Starting.a.Business",148
"340","Mauritania","Sub-Saharan Africa","Starting.a.Business",43
"341","Benin","Sub-Saharan Africa","Starting.a.Business",56
"342","Bolivia","Sub-Saharan Africa","Starting.a.Business",179
"343","Guinea","Southern Asia","Starting.a.Business",125
"344","Seychelles","1","Starting.a.Business",141
"345","Slovakia","Sub-Saharan Africa","Starting.a.Business",83
"346","Togo","Middle East and Northern Africa","Starting.a.Business",121
"347","Solomon Islands","1","Starting.a.Business",94
"348","Somalia","1","Starting.a.Business",187
"349","Zimbabwe",NA,"Starting.a.Business",180
"350","Sierra Leone",NA,"Starting.a.Business",83
"351","Ethiopia",NA,"Starting.a.Business",174
"352","Madagascar",NA,"Starting.a.Business",76
"353","Cameroon",NA,"Starting.a.Business",122
"354","Burundi",NA,"Starting.a.Business",42
"355","South Sudan","1","Starting.a.Business",181
"356","Algeria",NA,"Starting.a.Business",145
"357","Gabon",NA,"Starting.a.Business",132
"358","Iraq",NA,"Starting.a.Business",154
"359","St. Kitts and Nevis","1","Starting.a.Business",91
"360","Sudan",NA,"Starting.a.Business",159
"361","Myanmar",NA,"Starting.a.Business",155
"362","Liberia",NA,"Starting.a.Business",54
"363","St. Lucia","1","Starting.a.Business",69
"364","St. Vincent and the Grenadines","1","Starting.a.Business",85
"365","Angola",NA,"Starting.a.Business",134
"366","Suriname",NA,"Starting.a.Business",186
"367","Bangladesh",NA,"Starting.a.Business",131
"368","Swaziland",NA,"Starting.a.Business",158
"369","Syria",NA,"Starting.a.Business",133
"370","Chad",NA,"Starting.a.Business",185
"371","Haiti",NA,"Starting.a.Business",189
"372","Taiwan",NA,"Starting.a.Business",16
"373","Afghanistan",NA,"Starting.a.Business",107
"374","Timor-Leste","1","Starting.a.Business",151
"375","Libya",NA,"Starting.a.Business",167
"376","Tonga","1","Starting.a.Business",53
"377","Vanuatu","1","Starting.a.Business",128
"378","Venezuela",NA,"Starting.a.Business",190
"379","West Bank and Gaza","1","Starting.a.Business",169
"380","Yemen",NA,"Starting.a.Business",163
"381","New Zealand","Western Europe","Dealing.with.Construction.Permits",3
"382","Singapore","Western Europe","Dealing.with.Construction.Permits",16
"383","Denmark","Western Europe","Dealing.with.Construction.Permits",1
"384","Antigua and Barbuda","1","Dealing.with.Construction.Permits",99
"385","Bahamas, The","1","Dealing.with.Construction.Permits",86
"386","United States","Western Europe","Dealing.with.Construction.Permits",36
"387","United Kingdom","Western Europe","Dealing.with.Construction.Permits",14
"388","Norway","Western Europe","Dealing.with.Construction.Permits",21
"389","Georgia","Australia and New Zealand","Dealing.with.Construction.Permits",29
"390","Sweden","Australia and New Zealand","Dealing.with.Construction.Permits",27
"391","Barbados","1","Dealing.with.Construction.Permits",155
"392","Estonia","Latin America and Caribbean","Dealing.with.Construction.Permits",8
"393","Finland","Western Europe","Dealing.with.Construction.Permits",37
"394","Australia","Latin America and Caribbean","Dealing.with.Construction.Permits",6
"395","Belize","1","Dealing.with.Construction.Permits",114
"396","Lithuania","Latin America and Caribbean","Dealing.with.Construction.Permits",12
"397","Ireland","Western Europe","Dealing.with.Construction.Permits",30
"398","Canada","Western Europe","Dealing.with.Construction.Permits",54
"399","Latvia","Western Europe","Dealing.with.Construction.Permits",49
"400","Germany","Middle East and Northern Africa","Dealing.with.Construction.Permits",24
"401","United Arab Emirates","Western Europe","Dealing.with.Construction.Permits",2
"402","Austria","Middle East and Northern Africa","Dealing.with.Construction.Permits",42
"403","Iceland","Latin America and Caribbean","Dealing.with.Construction.Permits",64
"404","Malaysia","Southeastern Asia","Dealing.with.Construction.Permits",11
"405","Mauritius","Latin America and Caribbean","Dealing.with.Construction.Permits",9
"406","Thailand","Western Europe","Dealing.with.Construction.Permits",43
"407","Poland","Latin America and Caribbean","Dealing.with.Construction.Permits",41
"408","Spain","Middle East and Northern Africa","Dealing.with.Construction.Permits",123
"409","Portugal","Western Europe","Dealing.with.Construction.Permits",32
"410","Czech Republic","Latin America and Caribbean","Dealing.with.Construction.Permits",127
"411","France","Central and Eastern Europe","Dealing.with.Construction.Permits",18
"412","Netherlands","Latin America and Caribbean","Dealing.with.Construction.Permits",76
"413","Switzerland","Latin America and Caribbean","Dealing.with.Construction.Permits",62
"414","Japan","Southeastern Asia","Dealing.with.Construction.Permits",50
"415","Brunei Darussalam","1","Dealing.with.Construction.Permits",48
"416","Kazakhstan","Western Europe","Dealing.with.Construction.Permits",52
"417","Slovenia","Western Europe","Dealing.with.Construction.Permits",100
"418","Belarus","Eastern Asia","Dealing.with.Construction.Permits",22
"419","Cabo Verde","1","Dealing.with.Construction.Permits",67
"420","Kosovo","Latin America and Caribbean","Dealing.with.Construction.Permits",122
"421","Rwanda","Latin America and Caribbean","Dealing.with.Construction.Permits",112
"422","Montenegro","Latin America and Caribbean","Dealing.with.Construction.Permits",78
"423","Serbia","Latin America and Caribbean","Dealing.with.Construction.Permits",10
"424","Moldova","Central and Eastern Europe","Dealing.with.Construction.Permits",165
"425","Romania","Central and Eastern Europe","Dealing.with.Construction.Permits",150
"426","Italy","Eastern Asia","Dealing.with.Construction.Permits",96
"427","Armenia","Eastern Asia","Dealing.with.Construction.Permits",89
"428","Hungary","Latin America and Caribbean","Dealing.with.Construction.Permits",90
"429","Mexico","Middle East and Northern Africa","Dealing.with.Construction.Permits",87
"430","Bulgaria","Western Europe","Dealing.with.Construction.Permits",51
"431","Croatia","Latin America and Caribbean","Dealing.with.Construction.Permits",126
"432","Belgium","Central and Eastern Europe","Dealing.with.Construction.Permits",39
"433","Cyprus","Latin America and Caribbean","Dealing.with.Construction.Permits",120
"434","Israel","Central and Eastern Europe","Dealing.with.Construction.Permits",65
"435","Chile","Central and Eastern Europe","Dealing.with.Construction.Permits",15
